168,259,255,1097,1248,1305,2750,1877,2165,2543,1559,725,2790,2862,2821,1492,805,897,4066,2944,2822,2780,2876,2457,1948,1616,1839,2053,1818,1163,970
74,39,59,838,976,1165,1898,2982,2986,2114,2086,782,3715,3745,2348,2032,724,1276,3632,2979,2803,2604,2860,2315,1704,1639,1803,1773,1798,1534,1346
124,193,233,1369,1254,1379,2694,2406,2765,1996,1709,843,3154,3184,1968,1688,841,996,3370,2616,2543,2382,2598,2156,1631,1535,1593,1623,1620,1235,1058
5,12,90,1192,1289,1252,2186,2681,2916,3030,1510,1126,3133,2901,2804,1497,991,941,3143,2469,2374,2234,2745,2068,1505,1577,1549,1589,1606,1274,1063
9,76,195,1161,1134,1683,2864,2426,2562,2229,1350,903,2903,2721,2379,1305,853,829,3578,2044,2164,1999,2714,1937,1369,1453,1485,1718,1398,1337,950
11,29,194,925,716,933,1847,3590,3386,2102,1815,824,3401,3120,2097,1716,796,1082,3843,3157,2626,2855,2975,2482,2086,1633,1525,1992,2220,1487,1244
128,112,230,1493,1214,2127,2674,3480,2883,1944,1451,776,3037,3202,1950,1409,738,974,3916,2885,2793,2852,3037,2496,2055,1946,1894,2177,2086,1592,1384
116,154,163,1136,1316,1508,2657,2863,3138,2579,1392,760,3309,3174,2704,1310,712,879,3697,2865,2771,2720,3109,2626,1991,1939,1880,2133,1975,1636,1351
211,384,434,1604,1835,1859,3164,2855,3069,2705,1286,659,3140,3303,2525,1197,478,817,3143,2358,2251,2205,2504,2247,1637,1604,1626,1784,1678,1394,1222
124,278,420,1450,1581,1778,2833,2365,2502,2359,1899,873,2828,2638,2378,1645,714,965,4120,3174,3010,3122,3302,2895,2196,2136,2012,2442,2272,1944,1647
128,460,1184,1712,1790,2553,3337,3689,3770,2489,1618,683,3713,3649,2333,1428,709,984,3717,2836,2692,2700,2921,2703,2023,1898,1777,2085,2030,1646,1460
143,552,633,1495,1321,1867,2519,3107,3302,2146,1434,803,3452,3243,1902,1548,647,889,3623,2682,2684,2464,2952,2392,1948,1973,1852,2094,1984,1512,1358
